resource_id,resource_type,home_location_id,capacity,availability_status
V001,Van,L003,4,AVAILABLE
R001,Rider,L002,1,AVAILABLE
R002,Rider,L007,1,MAINTENANCE
R003,Rider,L007,1,AVAILABLE
R004,Rider,L001,1,MAINTENANCE
R005,Rider,L009,1,AVAILABLE
R006,Rider,L002,1,AVAILABLE
R007,Rider,L006,1,AVAILABLE
R008,Rider,L002,1,AVAILABLE
R009,Rider,L001,1,AVAILABLE
R010,Rider,L009,1,BUSY
R011,Rider,L007,1,AVAILABLE
R012,Rider,L003,1,BUSY
R013,Rider,L008,1,OFFLINE
R014,Rider,L004,1,AVAILABLE
R015,Rider,L004,1,AVAILABLE
V002,Van,L003,6,BUSY
V003,Van,L005,6,BUSY
V004,Van,L008,4,AVAILABLE
V005,Van,L004,3,AVAILABLE
V006,Van,L010,6,AVAILABLE
V007,Van,L004,4,BUSY
