road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,0.6,4,1.0
R002,L002,L003,1.2,8,1.3
R003,L001,L003,1.5,10,1.1
R004,L001,L032,0.6,4,1.3
R005,L001,L033,0.6,4,1.3
R006,L002,L008,0.6,4,1.6
R007,L002,L021,0.9,6,1.3
R008,L002,L037,0.9,6,1.3
R009,L003,L004,0.4,3,1.4
R010,L003,L030,0.5,3,1.1
R011,L004,L030,0.3,2,1.3
R012,L004,L035,0.5,3,1.4
R013,L005,L007,0.1,1,1.5
R014,L005,L012,0.6,4,1.1
R015,L005,L013,0.8,5,1.2
R016,L006,L009,0.2,1,1.1
R017,L006,L010,0.2,1,1.5
R018,L006,L014,0.3,2,1.4
R019,L006,L037,0.5,3,1.0
R020,L006,L038,0.1,1,1.6
R021,L007,L012,0.6,4,1.6
R022,L007,L026,0.8,5,1.4
R023,L008,L014,0.6,4,1.4
R024,L008,L037,0.3,2,1.1
R025,L009,L010,0.2,1,1.0
R026,L009,L011,0.2,1,1.3
R027,L009,L014,0.3,2,1.0
R028,L009,L018,0.2,1,1.1
R029,L009,L038,0.2,1,1.1
R030,L010,L026,0.3,2,1.0
R031,L010,L038,0.1,1,1.3
R032,L011,L012,0.4,3,1.3
R033,L011,L013,0.2,1,1.5
R034,L011,L018,0.1,1,1.3
R035,L012,L013,0.3,2,1.4
R036,L012,L026,0.3,2,1.3
R037,L013,L018,0.3,2,1.4
R038,L013,L026,0.2,1,1.3
R039,L014,L018,0.4,3,1.2
R040,L014,L037,0.4,3,1.6
R041,L015,L016,0.3,2,1.6
R042,L015,L017,0.3,2,1.5
R043,L015,L034,0.2,1,1.4
R044,L016,L017,0.1,1,1.2
R045,L016,L019,0.2,1,1.1
R046,L016,L020,0.2,1,1.2
R047,L016,L034,0.2,1,1.0
R048,L017,L019,0.2,1,1.5
R049,L017,L020,0.2,1,1.2
R050,L017,L034,0.2,1,1.5
R051,L019,L020,0.1,1,1.2
R052,L019,L036,0.2,1,1.6
R053,L020,L036,0.3,2,1.5
R054,L021,L022,0.1,1,1.0
R055,L021,L023,0.1,1,1.1
R056,L021,L024,0.1,1,1.5
R057,L022,L023,0.1,1,1.3
R058,L022,L024,0.1,1,1.6
R059,L022,L025,0.9,6,1.2
R060,L022,L027,1.4,9,1.0
R061,L023,L024,0.1,1,1.4
R062,L023,L025,0.8,5,1.5
R063,L023,L027,1.3,9,1.2
R064,L025,L027,0.5,3,1.1
R065,L028,L029,0.1,1,1.2
R066,L028,L030,0.4,3,1.6
R067,L028,L036,0.3,2,1.5
R068,L029,L030,0.4,3,1.1
R069,L029,L031,0.4,3,1.1
R070,L029,L035,0.7,5,1.1
R071,L029,L036,0.4,3,1.0
R072,L030,L031,0.2,1,1.5
R073,L030,L032,0.4,3,1.1
R074,L030,L035,0.7,5,1.3
R075,L031,L032,0.3,2,1.3
R076,L031,L033,0.4,3,1.1
R077,L032,L033,0.2,1,1.4
