Index,Value
1,629
2,88
3,54
4,195
5,538
6,530
7,196
8,909
9,920
10,98
11,254
12,583
13,899
14,382
15,268
16,593
17,441
18,346
19,468
20,44
21,397
22,806
23,379
24,619
25,789
26,59
27,196
28,599
29,395
30,523
31,806
32,214
33,88
34,604
35,415
36,224
37,444
38,185
39,655
40,733
41,251
42,230
43,727
44,774
45,1
46,605
47,408
48,966
49,998
50,394
51,632
52,149
53,637
54,87
55,200
56,802
57,606
58,21
59,713
60,809
61,243
62,944
63,932
64,64
65,0
66,965
67,96
68,786
69,443
70,258
71,318
72,679
73,691
74,378
75,353
76,593
77,918
78,501
79,802
80,346
81,626
82,128
83,79
84,823
85,364
86,389
87,419
88,851
89,343
90,826
91,865
92,465
93,845
94,662
95,282
96,19
97,937
98,302
99,502
100,848
101,452
102,507
103,679
104,973
105,790
106,868
107,665
108,403
109,309
110,408
111,21
112,312
113,185
114,104
115,13
116,933
117,824
118,61
119,274
120,772
121,197
122,110
123,777
124,579
125,146
126,403
127,700
128,505
129,615
130,315
131,860
132,572
133,779
134,822
135,476
136,957
137,143
138,504
139,673
140,697
141,858
142,123
143,998
144,868
145,895
146,639
147,812
148,68
149,699
150,889
151,631
152,143
153,202
154,494
155,867
156,426
157,769
158,482
159,765
160,584
161,78
162,473
163,662
164,59
165,27
166,480
167,298
168,874
169,274
170,713
171,47
172,238
173,26
174,66
175,185
176,538
177,576
178,745
179,506
180,423
181,593
182,678
183,927
184,402
185,555
186,341
187,549
188,603
189,164
190,758
191,722
192,811
193,578
194,907
195,513
196,88
197,313
198,973
199,717
200,623
201,203
202,499
203,78
204,496
205,257
206,833
207,522
208,519
209,272
210,985
211,322
212,572
213,495
214,616
215,13
216,512
217,348
218,423
219,163
220,2
221,159
222,196
223,959
224,605
225,87
226,861
227,600
228,8
229,840
230,249
231,433
232,987
233,101
234,99
235,803
236,904
237,962
238,859
239,236
240,709
241,995
242,371
243,73
244,861
245,104
246,259
247,703
248,557
249,786
250,553
251,847
252,346
253,415
254,137
255,920
256,989
257,985
258,428
259,687
260,575
261,788
262,368
263,841
264,215
265,286
266,980
267,265
268,605
269,962
270,6
271,156
272,506
273,685
274,643
275,210
276,510
277,553
278,491
279,167
280,670
281,575
282,934
283,839
284,816
285,431
286,655
287,457
288,412
289,140
290,539
291,450
292,993
293,563
294,862
295,18
296,520
297,57
298,11
299,172
300,529
